"filename", "language", "Pug", "JavaScript", "Markdown", "CSS", "JSON", "Docker", "comment", "blank", "total"
"d:\Projects\MiniTwitter\Dockerfile", "Docker", 0, 0, 0, 0, 0, 9, 1, 1, 11
"d:\Projects\MiniTwitter\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\Projects\MiniTwitter\app.js", "JavaScript", 0, 82, 0, 0, 0, 0, 10, 25, 117
"d:\Projects\MiniTwitter\database.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 5, 21
"d:\Projects\MiniTwitter\middleware.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 7
"d:\Projects\MiniTwitter\package-lock.json", "JSON", 0, 0, 0, 0, 3897, 0, 0, 1, 3898
"d:\Projects\MiniTwitter\package.json", "JSON", 0, 0, 0, 0, 31, 0, 0, 1, 32
"d:\Projects\MiniTwitter\public\css\login.css", "CSS", 0, 0, 0, 39, 0, 0, 0, 5, 44
"d:\Projects\MiniTwitter\public\css\main.css", "CSS", 0, 0, 0, 654, 0, 0, 10, 144, 808
"d:\Projects\MiniTwitter\public\js\chatPage.js", "JavaScript", 0, 148, 0, 0, 0, 0, 1, 54, 203
"d:\Projects\MiniTwitter\public\js\clientSocket.js", "JavaScript", 0, 16, 0, 0, 0, 0, 2, 8, 26
"d:\Projects\MiniTwitter\public\js\common.js", "JavaScript", 0, 456, 0, 0, 0, 0, 81, 143, 680
"d:\Projects\MiniTwitter\public\js\followersAndFollowing.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 5, 22
"d:\Projects\MiniTwitter\public\js\home.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 2, 7
"d:\Projects\MiniTwitter\public\js\inboxPage.js", "JavaScript", 0, 54, 0, 0, 0, 0, 2, 11, 67
"d:\Projects\MiniTwitter\public\js\newMessage.js", "JavaScript", 0, 65, 0, 0, 0, 0, 3, 26, 94
"d:\Projects\MiniTwitter\public\js\postPage.js", "JavaScript", 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\Projects\MiniTwitter\public\js\profile.js", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 4, 24
